Date:,Mon 26 Sep 2022 07:49:17 PM EDT,,,,,,,,,,,
Tool:,Eeschema 6.0.7-f9a2dced07~116~ubuntu20.04.1,,,,,,,,,,,
Component Count:,60,,,,,,,,,,,
,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,
,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,MANUFACTURER,STANDARD,Spice_Lib_File,Spice_Model,Spice_Netlist_Enabled,Spice_Primitive
,,C1,470uF,Device:C_Polarized_US,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,~,,,,470u,Y,C
,,C2,0.1uF,Device:C,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,~,,,,0.1u,Y,C
,,C3,10uF,Device:C_Polarized_US,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,~,,,,10u,Y,C
,,C4,0.1uF,Device:C,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,~,,,,0.1u,Y,C
,,C5,0.1uF,Device:C,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,~,,,,,,
,,C6,0.33uF,Device:C,Capacitor_THT:C_Disc_D6.0mm_W4.4mm_P5.00mm,~,,,,,,
,,C7,0.1uF,Device:C,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,~,,,,,,
,,C8,0.1uF,Device:C,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,~,,,,0.1u,Y,C
,,C9,0.1uF,Device:C,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,~,,,,0.2u,Y,C
,,C10,0.1uF,Device:C,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,~,,,,0.001u,Y,C
,,C11,0.1uF,Device:C,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,~,,,,0.1u,Y,C
,,C12,10uF,Device:C,Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm,~,,,,10u,Y,C
,,C13,0.1uF,Device:C,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,~,,,,,,
,,C14,0.1uF,Device:C,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,~,,,,,,
,,C15,0.1uF,Device:C,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,~,,,,,,
